"Block"	"Trial"	"FaceFilename"	"WordFilename"	"FaceRace"	"Fix"	"WordValence"	"Condition"	"RT"	"Key"	"Error"	"Subno"	"Congruent"	"logRT"	"logRT.winz"	"RT.winz"	"ParRace"	"ParGender"
2	150	"C:\Hannah's FYP\Black13_neu.jpg"	"vacation"	"Black"	"eyes"	"Pos"	122	756	2	0	4	"Incon"	6.62804137617953	6.62804137617953	756	NA	NA
2	151	"C:\Hannah's FYP\Black18_neu.jpg"	"success"	"Black"	"nose"	"Pos"	132	1806	2	0	4	"Incon"	7.49886973397693	7.49886973397693	1806	NA	NA
2	152	"C:\Hannah's FYP\White23_neu.jpg"	"romance"	"White"	"nose"	"Pos"	232	726	2	0	4	"Con"	6.5875500148248	6.5875500148248	726	NA	NA
2	153	"C:\Hannah's FYP\White22_neu.jpg"	"despair"	"White"	"nose"	"Neg"	231	889	1	0	4	"Incon"	6.7900972355139	6.7900972355139	889	NA	NA
2	154	"C:\Hannah's FYP\Black20_neu.jpg"	"garbage"	"Black"	"nose"	"Neg"	131	1289	1	0	4	"Con"	7.16162200293919	7.16162200293919	1289	NA	NA
2	155	"C:\Hannah's FYP\Black1_neu.jpg"	"garbage"	"Black"	"forehead"	"Neg"	111	708	1	0	4	"Con"	6.56244409369372	6.56244409369372	708	NA	NA
2	156	"C:\Hannah's FYP\White23_neu.jpg"	"love"	"White"	"nose"	"Pos"	232	828	2	0	4	"Con"	6.71901315438526	6.71901315438526	828	NA	NA
2	157	"C:\Hannah's FYP\White1_neu.jpg"	"vomit"	"White"	"forehead"	"Neg"	211	1099	1	0	4	"Incon"	7.00215595440362	7.00215595440362	1099	NA	NA
2	158	"C:\Hannah's FYP\Black15_neu.jpg"	"despair"	"Black"	"eyes"	"Neg"	121	1054	1	0	4	"Con"	6.96034772910131	6.96034772910131	1054	NA	NA
2	159	"C:\Hannah's FYP\White3_neu.jpg"	"sewage"	"White"	"forehead"	"Neg"	211	691	1	0	4	"Incon"	6.53813982376767	6.53813982376767	691	NA	NA
2	160	"C:\Hannah's FYP\White19_neu.jpg"	"success"	"White"	"nose"	"Pos"	232	901	2	0	4	"Con"	6.80350525760834	6.80350525760834	901	NA	NA
2	161	"C:\Hannah's FYP\White23_neu.jpg"	"disgust"	"White"	"nose"	"Neg"	231	1260	1	0	4	"Incon"	7.13886699994552	7.13886699994552	1260	NA	NA
2	162	"C:\Hannah's FYP\Black4_neu.jpg"	"success"	"Black"	"forehead"	"Pos"	112	761	2	0	4	"Incon"	6.63463335786169	6.63463335786169	761	NA	NA
2	163	"C:\Hannah's FYP\White12_neu.jpg"	"love"	"White"	"eyes"	"Pos"	222	643	2	0	4	"Con"	6.46614472423762	6.46614472423762	643	NA	NA
2	164	"C:\Hannah's FYP\Black6_neu.jpg"	"pest"	"Black"	"forehead"	"Neg"	111	610	1	0	4	"Con"	6.41345895716736	6.41345895716736	610	NA	NA
